Homonym,Index,S1,S2,S3
play,0-3,I used to play with trucks as a little girl .,,The kids were playing outside all day .
hearing,44927,His hearing was impaired .,,"My hearing is n't what it used to be , but I still heard that noise ."
mean,1-0,I mean no harm .,,"I meant to take the car in for a smog check , but it slipped my mind ."
concoction,45142,She has no peer in the concoction of mystery stories .,,His testimony was a concoction .
derivation,44959,He prefers shoes of Italian derivation .,,Music of Turkish derivation .
furniture,45083,How much furniture did they leave behind ?,,There was only one piece of furniture in the room .
strike,0-1,We will strike a medal in your honour .,,Strike a medal .
miracle,0-4,An example of a miracle associated with Muhammad is the splitting of the moon .,,Many religious beliefs are based on miracles .
unionize,44990,The company laid off all the workers when they tried to unionize .,,We do n't allow people to come into our plant and try to unionize the workers .
arouse,45022,To arouse anger .,,To arouse compassion .
tolerate,45114,"I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .",,"I can tolerate working on Saturdays , but not on Sundays ."
affinity,44961,An affinity for politics .,,James 's affinity with Sam .
hit,2-0,The thermometer hit 100 degrees .,,The movie hits theaters in December .
fall,0-0,Fall into a trap .,,Fall in love .
window,0-0,The expanded window will give us time to catch the thieves .,,They had a window of less than an hour when an attack would have succeeded .
carry,45144,"To carry well , i.e. to hold the head high , with arching neck .",,He carried himself upright .
pit,44930,Pit plums and cherries .,,One must pit a peach to make it ready for a pie .
orbit,44960,Electrons orbit the nucleus .,,The planets are orbiting the sun .
class,44989,The class of 1982 was particularly noteworthy .,,Early morning classes are always sleepy .
care,0-0,He does n't care about how / whether she comes .,,I do n't care .
mow,44938,Mow the grass .,,He mowed the lawn .
overkill,44927,"Should I give you yet more homework , or would that be overkill ?",,24 hours of TV coverage of the US election verged on overkill .
shortness,45078,Can cause shortness of breath .,,There was no shortness of money .
house,44927,This is my house and my family 's ancestral home .,,She felt she had to get out of the house .
surface,44929,Earthquakes originate far below the surface .,,Three quarters of the Earth 's surface is covered by water .
case,44958,The teaching consists of theory lessons and case studies .,,It may rain in which case the picnic will be canceled .
drop,45112,Shop til you drop .,,A single shot was fired and the bird dropped from the sky .
visibility,0-6,The visibility from that angle was good .,,Low visibility caused by fog .
draw,44987,A ship 's sail is said to draw when it is filled with wind .,,This horse draws well .
dozen,44961,There should n't be more than two dozen Christmas cards left to write .,,"Can I have a dozen eggs , please ?"
fish,45052,In Japan most fish is eaten raw .,,After the scare about foot-and-mouth disease a lot of people started eating fish instead of meat .
grade,45261,Grade A milk .,,He got a good grade on the test .
key,44932,The key to winning a game .,,The key to development is economic integration .
connect,45265,This computer will connect well to the network .,,These computers connected well .
coverage,44988,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil .",,There are overlapping coverages on your insurance policies .
belong,44963,These pages do n't belong .,,The uniform looks like it belonged to a museum collection .
thing,45081,This thing has got to end .,,It is a remarkable thing .
crash,44959,Will the stock market crash again ?,,The economy crashed .
arouse,44986,To arouse jealousy .,,To arouse compassion .
stretch,0-0,Cats stretch with equal ease and agility beyond the point that breaks a man on the rack .,,I always stretch my muscles before exercising .
hold,0-1,She kept a firm hold on the railing .,,Keep a firm hold on the handlebars .
change,1-0,The product is undergoing a change in order to improve it .,,This storm is certainly a change for the worse .
raise,45173,Raise a family .,,Chew with your mouth shut — were you raised in a barn ?
credit,44932,I give you credit for owning up to your mistake .,,Give her credit for trying .
read,0-1,She read the sky and predicted rain .,,The fortune teller read his fate in the crystal ball .
right,45018,He stood on the right .,,The pharmacy is just on the right past the bookshop .
one,45019,He has the one but will need a two and three to go with it .,,They had lunch at one .
use,45048,Use your head !,,He does n't know how to use a computer .
patch,44958,I lost my locket in this patch of grass here .,,The world economy had a rough patch in the 1930s .
come,45001,Come into the room .,,He came singing down the road .
be,45111,I shall be writing to you soon .,,Ignorance is bliss .
origin,45108,Origin in sensation .,,The rumor had its origin in idle gossip .
follow,44928,Follow the road .,,Follow the trail .
breath,45019,I could hear the breath of the runner behind me .,,He was fighting to his last breath .
cover,45049,Cover the child with a blanket .,,Cover the grave with flowers .
admit,44927,To admit evidence in the trial of a cause .,,This pipe admits air .
suffer,45079,We hope you never have to suffer the same pain .,,Many saints suffered martyrdom .
constriction,0-0,Emotion caused a constriction of his throat .,,He felt a constriction in her chest .
cycle,0-1,"The cycle of the seasons , or of the year .",,The never-ending cycle of the seasons .
trade,45047,They are accused of conspiring to constrain trade .,,Venice was an important center of trade with the East .
wealth,45047,She brings a wealth of knowledge to the project .,,Great wealth is not a sign of great intelligence .
carry,44942,These pipes carry waste water into the river .,,This train is carrying nuclear waste .
institution,45019,He had become an institution in the theater .,,The institution of slavery .
answer,45020,Answer the door .,,Nobody answered when I knocked on the door .
side,44988,It brought out his better side .,,He is on the purchasing side of the business .
side,44989,He had a pain in his side .,,Which side of the tray shall I put it on ?
gravitation,44986,The gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them .,,"Gravitation can not be held responsible for people falling in love ""-- Albert Einstein ."
be,44928,I shall be writing to you soon .,,There were two hundred people at his funeral .
ruffle,4-0,This play is going to ruffle some people .,,She has a way of ruffling feathers among her colleagues .
krona,44928,Kronas kurss — the exchange rate of the krona .,,"Pap?ra krona — paper krona ( i.e. , bills , banknotes ) ."
communicate,44930,Do you communicate well with your advisor ?,,He and his sons have n't communicated for years .
come,44960,Come into contact with a terrorist group .,,The water came to a boil .
estate,0-2,There are 50 acres of land in this estate .,,The family owned a large estate on Long Island .
sublime,44965,Sublime iodine .,,Some salts sublime when heated .
reenactment,44927,They 're going to the Civil War battle reenactment this weekend .,,The reenactment of the battle of Princeton .
restore,44929,Restore law and order .,,He restored my lost faith in him by doing a good deed .
body,44928,A body of law .,,A body of doctrine .
door,45083,He slammed the door as he left .,,He knocked on the door .
sale,45055,They are having a clearance sale : 50 % off .,,They held a sale to reduce their inventory .
flatten,44962,Flatten your stomach with these exercises .,,Flatten a road .
touch,45020,"With the lights out , she had to rely on touch to find her desk .",,Only sight and touch enable us to locate objects in the space around us .
wall,44960,The south wall had a small window .,,The walls were covered with pictures .
dogma,1-0,He believed all the Marxist dogma .,,"The unforgiving dogma of Stalinism is that what the party leader , however cruel and incompetent , decrees , however absurd , must be accepted as law ."
save,44963,This will save money .,,This will save you a lot of time .
speech,44960,Her speech was barren of southernisms .,,I detected a slight accent in his speech .
sake,44927,For your sake .,,Died for the sake of his country .
come,0-2,Come into the room .,,Come with me to the Casbah .
cuddle,44928,"I 'm cold ; can you roll over here and cuddle me , honey ?",,She cuddled the infant before bedtime .
time,1-0,This time he succeeded .,,"Okay , but this is the last time . No more after that !"
course,44929,A course of bricks .,,"On a building that size , two crews could only lay two courses in a day ."
stop,45081,Soon the rain will stop .,,The riots stopped when police moved in .
make,44931,They make a cute couple .,,Clothes make the man .
field,0-1,He needs some time in the field before his judgment can be trusted .,,Field work traditionally distinguishes true archaeologists from armchair archaeologists .
mother,45019,The lioness was a mother of four cubs .,,The mother of three children .
rest,0-1,A body will continue in a state of rest until acted upon .,,"Now that we 're all in agreement , we can put that issue to rest ."
inspect,0-0,Please inspect your father 's will carefully .,,We inspected the area .
beg,0-0,I beg your pardon . I did n't mean to cause offence .,,He begged her to go to the prom with him .
hardship,8-0,"I can not think it a hardship that more indulgence is allowed to men than to women""- James Boswell .",,The many hardships of frontier life .
give,45052,Can you give me lessons ?,,I gave her my money .
drag,44965,The waitresses looked like missionaries in drag .,,He went to the party dressed in drag .
emission,44934,The emission of heat from a fire .,,The emission of light from the sun .
war,44927,"The "" war on drugs "" is a campaign against the use of narcotic drugs .",,"In the US , conservatives rail against the "" war on Christmas "" ."
breathe,45048,I can breathe better when the air is clean .,,Paul breathed a deep breath .
member,44930,A member of the faculty .,,Only members will be admitted .
boy,0-5,The baby was a boy .,,The boys were playing kickball in the mud .
go,44989,Messages must go through diplomatic channels .,,She went through a lot of trouble .
fall,5-0,Fall into a strange way of thinking .,,She fell to pieces after she lost her work .
drink,45111,"No thanks , I do n't drink .",,We were up drinking all night .
ball,0-14,A ball of fire .,,A ball of wool .
forefront,44930,The idea of motion was always to the forefront of his mind and central to his philosophy .,,That laboratory researches topics at the forefront of technology .
spring,45170,He will hold office until the spring of next year .,,The emerging buds were a sure sign of spring .
forbid,44989,The rules forbid smoking .,,The rules forbid our smoking .
sale,45079,You 'll find vitamin C for sale at most pharmacies .,,The new line of cars will soon be on sale .
tea,44986,Would you like some tea ?,,"Would you be a dear and get me a cup of tea , please ?"
floor,0-0,The floor of the pelvis .,,The floor of a cave served the refugees as a home .
birth,45048,They divorced after the birth of the child .,,His election signaled the birth of a new age .
dress,45083,Dress the patient .,,Can the child dress by herself ?
camp,44927,We 're planning to camp in the field until Sunday .,,The houseguests had to camp in the living room .
voice,45049,The noisy voice of the waterfall .,,The incessant voices of the artillery .
pursuit,44958,"Unremitting pursuit of wealth does n't bring happiness , particularly if successful .",,The culprit started to run and the cop took off in pursuit .
work,44988,Do you want to work after the age of 60 ?,,Is your husband working again ?
raise,0-3,Raise the price of bread .,,Raise my salary .
drop,44960,A drop of each sample was analyzed .,,There is not a drop of pity in that man .
streak,44986,Had a streak of bad luck .,,I hope I can keep up this streak of accomplishments .
hit,45140,We hit Detroit by noon .,,I have to hit the MAC machine before the weekend starts .
see,45017,You have to be a good observer to see all the details .,,I saw him laughing .
tab,44930,Files with a red tab will be stored separately .,,Pull the tab to open the can .
come,45051,Your wish will come true .,,Winter comes after autumn .
pay,45021,Pay a debt .,,He was allowed to go as soon as he paid .
side,45017,He was on the heavy side .,,He is on the purchasing side of the business .
time,0-1,The judge leniently granted a sentence with no hard time .,,He is doing time in the county jail .
purchase,44960,$ 50 wo n't even purchase a dress .,,"To purchase land , to purchase a house ."
antagonist,2-0,"A flexor , which bends a part , is the antagonist of an extensor , which extends it .",,When bending the elbow the triceps are the antagonist .
fair,45047,World fair .,,Trade fair .
reseat,44989,Reseat Carnegie Hall .,,We should reseat this cinema-the old seats are worn .
baby,45115,The baby of the family .,,The baby of the Supreme Court .
face,0-1,They climbed the north face of the mountain .,,She wanted to wipe him off the face of the earth .
look,45027,I do n't like the look of the new design .,,She got her mother 's looks .
now,0-0,There is no better time than now .,,Now is a good time to do it .
way,44986,Come this way and I 'll show you a shortcut .,,Do you know the way to the airport ?
turn,0-2,Turn your dance partner around .,,Turn the car around .
store,0-0,I 'll store these books in the attic .,,Store grain for the winter .
compass,45212,Within the compass of an encircling wall .,,Within the compass of education .
fatigue,0-0,He was suffering from museum fatigue .,,The American public is experiencing scandal fatigue .
run,44987,The sale will run for ten days .,,The contract runs through 2008 .
blight,0-2,Too much rain may blight the garden with mold .,,This vine never blights .
note,44927,"I did n't have any coins to pay with , so I used a note .",,He peeled off five one-thousand-zloty notes .
drag,44960,He performed in drag .,,He went to the party dressed in drag .
shot,45021,A good shot requires good balance and tempo .,,He left me an almost impossible shot .
tea,45235,The store shelves held many different kinds of tea .,,"Would you be a dear and get me a cup of tea , please ?"
coverage,44927,Do n't go to lunch if we do n't have enough coverage for the help-desk phones .,,There are overlapping coverages on your insurance policies .
nationality,44987,Such images define their sense of nationality .,,Immigrants of the same nationality often seek each other out .
be,0-1,I shall be writing to you soon .,,I am 75 kilograms .
unit,44931,A unit of wheat is a bushel .,,The centimetre is a unit of length .
mean,0-0,I did n't mean to knock your tooth out .,,I only meant to help you .
fall,0-1,Fall into a strange way of thinking .,,She fell ill .
spread,6-0,She liked to spread butter on her toast while it was still hot .,,Spread cheese on a piece of bread .
spread,0-0,Spread information .,,The missionaries quickly spread their new message across the country .
patch,45081,Does n't that patch of clouds looks like a bunny ?,,The storms last summer washed away parts of the road so we can expect some rough patches up ahead .
post,44987,She was opening her post .,,Is there any post for me ?
opening,0-2,There was a small opening between the trees .,,A salamander darted out of an opening in the rocks .
field,45021,Gold field .,,He longed for the fields of his youth .
swimsuit,44927,Jade refused to go swimming with her brother until he helped her find her favorite swimsuit .,,Put on your swimsuit and let 's go for a swim .
ability,45142,"This wood has the ability to fight off insects , fungus , and mold for a considerable time .",,This phone has the ability to have its software upgraded wirelessly .
pack,44960,Pack the books into the boxes .,,To pack goods in a box .
example,45018,There is an example on page 10 .,,This patient provides a typical example of the syndrome .
stuff,44928,The trunk was full of stuff .,,He did n't want his pockets to bulge so he was walking around with all his stuff in his hands .
fun,45018,They began to fight like fun .,,She asked for money and then the fun began .
foulness,45264,His display of foulness deserved severe punishment .,,He understood the foulness of sin .
snap,45022,To snap a fastener .,,Snap your fingers .
line,45139,He got out of line .,,Toe the line .
fast,0-2,Muslims fast during Ramadan .,,Catholics sometimes fast during Lent .
wash,0-0,He managed to wash out the stains .,,"The car is so dirty , we need to wash it ."
spring,0-3,I spent my spring holidays in Morocco .,,"You can visit me in the spring , when the weather is bearable ."
owe,45017,I still owe for the car .,,She owes me $ 200 .
time,6-0,When was the last time we went out ? I do n't remember .,,He called four times .
use,0-1,I ca n't use this tool .,,Use the plastic bags to store the food .
pull,45112,The pull of the moon .,,The pull of the current .
line,44960,To line the shelves .,,Line one 's pockets .
point,44998,To fall off a point .,,He checked the point on his compass .
fish,44927,After the scare about foot-and-mouth disease a lot of people started eating fish instead of meat .,,They have a chef who specializes in fish .
line,45080,"I tried to make a call , but the line was dead .",,A dedicated line .
funny,0-1,She made a funny .,,She told a funny story .
disposition,45050,I have little disposition now to do as you say .,,Salt has a disposition to dissolve in water .
voice,0-1,The wee small voice of conscience .,,He said his voices told him to do it .
carry,45019,I carry her image in my mind 's eye .,,I carry these thoughts in the back of my head .
classify,44986,How would you classify these pottery shards -- are they prehistoric ?,,She classified the articles into different genres .
make,45265,He will make a fine father .,,He makes a great host .
drink,45019,"No thanks , I do n't drink .",,"You 've been drinking , have n't you ?"
time,44989,He had a time holding back the tears .,,They had a good time together .
read,44927,I read this address as a satire .,,I can read his feelings in his face .
raise,44958,Raise a sad cry .,,Raise a protest .
side,45078,He was on the heavy side .,,Look on the bright side .
sign,2-0,The hunters found deer sign at the end of the trail .,,Those clouds show signs of raining soon .
texture,44936,The wall had a smooth texture .,,"The beans had a grainy , gritty texture in her mouth ."
session,0-1,A filming session .,,"Are we having a recording session ? "" Yes . We 've even got some session musicians to provide some brass . "" ."
come,44927,Come out of the closet !,,He came from France .
mercury,45170,The mercury was falling rapidly .,,"The mercury there has averaged 37.6C , 2.3C above the February norm ."
head,45078,At five years of age this head of cattle is worth perhaps $ 40 .,,They shot 20 head of quail .
touch,0-0,She did n't touch her food all night .,,Are you all right ? You 've hardly touched your lunch .
think,45110,"I think she is pretty , contrary to most people .",,I think that he is her boyfriend .
fool,44930,The village fool threw his own shoes down the well .,,You were a fool to cross that busy road without looking .
connect,45232,This computer will connect well to the network .,,Our computers connected together .
twinkle,44961,There 's a perpetual twinkle in his eyes .,,"He was a rotund , jolly man with a twinkle in his eye ."
place,44987,Do you want to come over to my place later ?,,Your place or mine ?
know,44987,She does n't know this composer .,,I know him under a different name .
sense,44928,A sense of danger .,,A sense of happiness .
keep,44928,I keep my specimens under glass to protect them .,,Keep smiling .
cardinal,44987,"The cardinal number "" three "" can be represented as "" 3 "" or "" three "" .",,"The smallest cardinal numbers are 0 , 1 , 2 , and 3 ."
channel,44930,The ship went aground in the channel .,,The English Channel lies between France and England .
drill,44958,Drill a hole into the wall .,,"Do n't drill here , there 's a gas pipe ."
carry,44933,These pipes carry waste water into the river .,,Amanda carried the package to New York from home .
dibs,44927,Who 's got dibs on the chips ?,,I have dibs on that last slice of pizza .
summerize,45022,Summerize a house .,,Summerize your car .
count,44927,Can you count the books on your shelf ?,,There are three apples ; count them .
flash,0-0,A flash sewn on his sleeve indicated the unit he belonged to .,,Red flashes adorned the airplane .
read,44929,I can read his feelings in his face .,,She read my mind and promptly rose to get me a glass of water .
connect,44959,The new railroad will connect the northern part of the state to the southern part .,,Our computers connected together .
voice,44930,The voice of experience .,,He said his voices told him to do it .
drag,0-2,He performed in drag .,,The waitresses looked like missionaries in drag .
book,0-1,Many readers find the first book of A Tale of Two Cities to be confusing .,,The book of Isaiah .
life,45147,Get a life .,,Social life .
game,44929,He thought of his painting as a game that filled his empty time .,,Being a child is all fun and games .
camp,44959,The houseguests had to camp in the living room .,,Can we go camping again this summer ?
line,44934,The line of soldiers advanced with their bayonets fixed .,,They were arrayed in line of battle .
smile,0-0,He has a sinister smile .,,She had a smile on her face .
trend,0-1,The trend of the stock market .,,The trend of a coastline .
drain,0-0,A drain on resources .,,A drain of young talent by emigration .
monitor,44986,The police monitor the suspect 's moves .,,We are monitoring the air quality .
see,0-2,The minister does n't see anybody before noon .,,The doctor will see you now .
air,44988,Air out the smoke-filled rooms .,,Air the old winter clothes .
time,44969,Take time to smell the roses .,,I did n't have time to finish .
connect,44986,Can you connect the two loudspeakers ?,,These computers connected well together .
break,45049,Break a lucky streak .,,Break the cycle of poverty .
rub,44930,Rub oil into her skin .,,I rubbed my hands together for warmth .
sense,0-2,Common sense is not so common .,,Fortunately she had the good sense to run away .
ensure,44927,This nest egg will ensure a nice retirement for us .,,Our exertions ensured us a good outcome .
haul,44928,Haul nets .,,Haul stones .
air,45052,Open a window and let in some air .,,I need some fresh air .
port,45048,Port a rifle .,,Port arms !
make,45078,One swallow does not a summer make .,,This makes the third infraction .
round,44927,He ordered a second round .,,They brought us a round of drinks about every thirty minutes .
hum,44930,The hum of distant traffic .,,"They could hear a hum coming from the kitchen , and found the dishwasher on ."
finish,45231,When the finish is too thin it is difficult to apply evenly .,,The car 's finish was so shiny and new .
make,45049,A good review by this critic will make your play !,,She married into wealth and so has it made .
people,3-0,His people have been farmers for generations .,,Are your people still alive ?
trial,44927,He called each flip of the coin a new trial .,,In the experimental trials the amount of carbon was measured separately .
age,41699,We live in a litigious age .,,The Bronze Age was followed by the Iron Age .
head,45078,200 head of cattle .,,A reduction in the assessment per head of sheep .
poison,45049,Gossip is a malicious poison .,,The poison of fascism .
survey,44929,Under his proud survey the city lies . -Sir John Denham .,,His survey of the battlefield was limited .
notice,0-2,An obituary notice .,,You did n't give me enough notice .
work,44927,I will work hard to improve my grades .,,They worked on the task .
chain,0-2,"A chain of ideas , one leading to the next .",,The chain of command .
sense,1-0,It 's common sense not to put metal objects in a microwave oven .,,Common sense is not so common .
sale,44986,They are having a clearance sale : 50 % off .,,I got some great bargains at their annual sale .
baby,45049,Stop being a baby !,,Stand up for yourself - do n't be such a baby !
head,0-0,The beer had a large head of foam .,,Pour me a fresh beer ; this one has no head .
shift,3-0,We 'll have to shift these boxes to the downtown office .,,Shift the emphasis .
run,44934,He went to Las Vegas and spent all his money over a three-day run .,,I 'm having a run of bad luck .
cast,45206,Her features had a delicate cast to them .,,The delicate cast of his features .
chain,44959,"A chain of ideas , one leading to the next .",,The third link of the silver chain needs to be resoldered .
face,44929,Dew dripped from the face of the leaf .,,She wanted to wipe him off the face of the earth .
run,2-0,I will run the sample .,,Do n't run that software unless you have permission . ' .
day,45086,It should arrive any day now .,,Those were the days .
pay,44960,"Pay up , please !",,She offered to pay the bill .
life,0-0,While there 's life there 's hope .,,Life depends on many chemical and physical processes .
raise,44986,Raise a family .,,To raise somebody to office .
withholding,45109,There were allegations of the withholding of evidence .,,I resented his withholding permission .
sale,0-0,I got some great bargains at their annual sale .,,They held a sale to reduce their inventory .
line,45081,The answer to the comprehension question can be found in the third line of the accompanying text .,,There are six lines in every stanza .
assemble,45017,Assemble your colleagues .,,The parents assembled in the school hall .
clearance,45050,The plane was given clearance to land .,,"He got clearance to travel to America , even though he had previous links to terrorists ."
membership,0-0,They polled their membership .,,He has memberships in clubs in three cities .
time,44930,We had a wonderful time at the party .,,He had a time holding back the tears .
use,41426,I ca n't use this tool .,,We can use this mathematical formula to solve the problem .
remission,45049,Her cancer was in remission .,,His cancer is in remission .
treat,45022,Treat an oil spill .,,Treat the lawn with chemicals .
take,0-2,Take sick .,,Be taken drunk .
question,45112,The question of seniority will be discussed at the meeting .,,There was a question of which material to use .
avoid,44988,I try to avoid the company of gamblers .,,We avoided the area .
play,45203,Play games .,,We played hockey all afternoon .
break,0-1,This play will either make or break the playwright .,,His peccadilloes finally broke his marriage .
cut,45175,Cut a movie scene .,,Cut the engines when the plane comes to a halt !
take,0-1,Take vengeance .,,Take steps .
attack,2-0,Open to attack by the elements .,,The film was sensitive to attack by acids .
role,44932,The role of women has changed significantly in the last century .,,What is your role on the team ?
practice,44958,It is good practice to check each door and window before leaving .,,It is their practice to give annual raises .
drip,44929,Listening to the tap next door drip all night drove me mad !,,Water is dripping from the faucet .
grace,45020,I 'm so grateful to God for the grace that He has given me .,,God 's grace is manifested in the salvation of sinners .
top,0-0,He stared as she buttoned her top .,,I bought this top as it matches my jeans .
rubric,44986,* That would fall under the rubric of things we can ignore for now .,,It is usually discussed under the rubric of ` functional obesity ' .
background,0-9,He is a lawyer with a sports background .,,The lawyer had a background in computer science .
number,44992,Every number has a unique position in the sequence .,,"The equation e^i\pi+1=0 includes the most important numbers : 1 , 0 , \pi , i , and e."
time,44927,See you another time .,,When was the last time we went out ? I do n't remember .
vagueness,45047,These terms were used with a vagueness that suggested little or no thought about what each might convey .,,The Conservative manifesto is a model of vagueness .
interest,45149,In the interest of safety .,,In the common interest .
sex,45017,They had sex in the back seat .,,We had sex in the back seat .
mirror,4-0,I had a look in the mirror to see if the blood had come off my face .,,"We could see the lorry in the mirror , so decided to change lanes ."
dig,45111,Dig salt .,,Dig coal .
arouse,45051,Arouse pity .,,To arouse compassion .
clarity,45051,Lack of clarity on the part of the teacher will cause confusion among the students .,,"She dreamed , with great clarity , that she had been seen her own death ."
date,45017,I arranged a date with my Australian business partners .,,She asked how to avoid kissing at the end of a date .
authority,44958,Respect my authority !,,He has the authority to issue warrants .
know,45112,Do you know my sister ?,,She does n't know this composer .
voice,44990,The voice of the law .,,Conservatism has many voices .
stomach,44990,Exercise gave him a good stomach for dinner .,,A good stomach for roast beef .
connect,4-0,The new railroad will connect the northern part of the state to the southern part .,,Herman connected the computers together .
slot,44958,Bob Dylan occupied the top slot for several weeks .,,She beat some tough competition for the number one slot .
charge,0-1,The child was a charge of the nanny .,,The teacher led her charges across the street .
language,44959,The gift of language .,,He taught foreign languages .
wall,0-6,Negotiations ran into a brick wall .,,A wall of prejudice .
make,0-1,Make a move .,,Make advances .
move,45048,The move into my fiancé 's house took two long days .,,They say that three moves equal one fire .
dwelling,0-0,Philip 's dwelling fronted on the street . - Alfred Tennyson .,,He built a modest dwelling near the pond .
tell,44929,Tell me what is bothering you .,,Ellen told Helen how to avoid the crowd .
face,44960,Dew dripped from the face of the leaf .,,Put a big sign on each face of the building that can be seen from the road .
remember,44990,Do you remember that he once loved you ?,,I ca n't remember saying any such thing .
streak,45111,"I was on a winning streak until the fourth game , where I was dealt terrible cards .",,Had a streak of bad luck .
deep,44989,In the deep of winter .,,In the deep of night .
behalf,0-0,Spoke a good word in his friend 's behalf .,,In your behalf .
undo,0-5,I wish I could undo my actions .,,"Fortunately , we can undo most of the damage to the system by the war ."
third,44959,Jones came in third .,,"He answered the first question willingly , the second reluctantly , and the third with resentment ."
keep,45080,Keep appointments .,,She never keeps her promises .
make,45144,Make advances .,,Make a phone call .
deal,45048,He 's a master of the business deal .,,We need to finalise the deal with Henderson by midnight .
repertory,45022,Has a large repertory of dialects and characters .,,The repertory of the supposed feats of mesmerism .
give,44961,Can you give me lessons ?,,"When they asked , I gave my coat ."
refine,0-0,Refine pig iron .,,Refine oil .
dwelling,41275,The old house served as a dwelling for Albert .,,He built a modest dwelling near the pond .
foot,44927,The foot of the list .,,Curled up on the foot of the bed .
cup,45049,The cup of her bra .,,Bees filled the waxen cups with honey .
search,44930,The outcome justified the search .,,A thorough search of the ledgers revealed nothing .
see,45047,You have to be a good observer to see all the details .,,He is blind -- he can not see .
whisk,45048,The chef prepared to whisk the egg whites for the angel 's food cake .,,Whisk the eggs .
strength,0-3,They measured the station 's signal strength .,,He had the strength of ten men .
side,45020,It brought out his better side .,,Look on the bright side .
scrambler,44930,Their quarterback was a good scrambler .,,Scramblers can often unnerve a better tennis player .
poison,45020,Poison the atmosphere in the office .,,Poison someone 's mind .
law,44928,Civilization presupposes respect for the law .,,"By law , one is not allowed to own a wallaby in New York City ."
scrub,44988,Engineers had to scrub the satellite launch due to bad weather .,,We had to scrub our vacation plans .
rotation,45263,The manager had only four starting pitchers in his rotation .,,Crop rotation makes a balanced demand on the fertility of the soil .
blend,0-0,Blend the nuts and raisins together .,,He blends in with the crowd .
mount,44989,Mount a theater production .,,Mount a play .
art,44962,It 's quite an art .,,The art of conversation .
feel,45047,I made the students feel different about themselves .,,You make me feel naked .
break,0-1,Can you break a hundred-dollar bill for me ?,,I had to break a $ 100 bill just to buy the candy .
commission,45236,He works on commission .,,A reseller 's commission .
camp,0-0,We 're planning to camp in the field until Sunday .,,Can we go camping again this summer ?
strike,45047,Strike fire from the flintstone .,,Strike a match .
reticulation,0-7,The reticulation of a leaf .,,The reticulation of a photographic emulsion .
use,44989,We can use this mathematical formula to solve the problem .,,He does n't know how to use a computer .
movement,45048,The labor movement has been struggling in America since the passage of the Taft-Hartley act in 1947 .,,He was a charter member of the movement .
language,0-2,He uttered harsh language .,,Sign language .
move,44989,"A slight move of the tiller , and the boat will go off course .",,His move put him directly in my path .
day,44999,It should arrive any day now .,,These days it is not unusual .
take,0-0,Tomorrow the doctor will take the cast off her arm .,,Mother took our plates away and came back with some fruit for us to eat .
ringing,45025,The ringing of the telephone .,,"The tintinnabulation that so voluminously swells from the ringing and the dinging of the bells ""-- E. A. Poe ."
call,0-2,He heard the phone ringing but did n't want to take the call .,,I received several calls today .
breath,0-1,I could hear the breath of the runner behind me .,,The child 's breath came quickly and unevenly .
chance,44963,We had the chance to meet the president last week .,,Now is your chance .
practice,1-0,It is the usual practice of employees there to wear neckties only when meeting with customers .,,It is their practice to give annual raises .
difference,44934,His support made a real difference .,,The difference in her is amazing .
connection,45051,The connection between overeating and obesity .,,My headache has no connection with me going out last night .
block,44958,The offensive linemen tried to block the blitz .,,He blocked the basketball player 's shot .
break,0-1,"I do n't know how to break this to you , but your cat is not coming back .",,"When news of their divorce broke , ..."
air,44927,Open a window and let in some air .,,Air pollution .
loss,44932,A serious loss of business .,,Weight loss .
texture,0-0,Fish with a delicate flavor and texture .,,Breadfruit has the same texture as bread .
arouse,0-1,To arouse anger .,,To arouse jealousy .
land,44933,It can be tricky to land a helicopter .,,This may land you in jail .
leave,0-1,She did n't leave until midnight .,,The ship leaves at midnight .
life,0-2,He gave up on life .,,"Having experienced both , the vampire decided that he preferred (un)death to life ."
weakness,45020,The weakness of the span was overlooked until it collapsed .,,His weakness increased as he became older .
end,44932,He came to a bad end .,,The so-called glorious experiment came to an inglorious end .
know,0-0,It is vital that he not know .,,I want to know who is winning the game !
luck,44929,Bad luck caused his downfall .,,Gilbert had some bad luck yesterday — he got pick - pocketed and lost fifty dollars .
traffic,45019,Traffic on the internet is lightest during the night .,,Heavy traffic overloaded the trunk lines .
sense,0-0,A sense of self .,,A sense of danger .
run,44994,Run a new program on the Mac .,,Run the dishwasher .
know,0-0,I know him under a different name .,,This flower is known as a Peruvian Lily .
grip,44987,The grip of a sword .,,It was an old briefcase but it still had a good grip .
patch,45173,I lost my locket in this patch of grass here .,,Does n't that patch of clouds looks like a bunny ?
know,45086,I want to know who is winning the game !,,I know it 's time .
fill,44986,She had heard her fill of gossip .,,He ate his fill of potatoes .
foot,44991,The foot of the mountain .,,The foot of the page .
purchase,44958,"To purchase land , to purchase a house .",,The family purchased a new car .
loss,0-1,The match ended in their first loss of the season .,,His loss of credibility led to his resignation .
cut,44987,Cut trenches .,,Cut a hole .
window,45087,The expanded window will give us time to catch the thieves .,,Launch window .
shelve,0-2,Shelve books .,,The library needs volunteers to help shelve books .
ensure,0-2,This nest egg will ensure a nice retirement for us .,,The circumstances ensured that he would arrive in time .
